
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","2.9","4.0","0.0","0.0","0.0","0.8","0.0","56.5","0.0","0.0","T","68.3"
"02","0.1","26.6","5.9","0.0","32.0","1.8","0.0","203.5","0.0","0.0","0.3","53.5"
"03","26.5","49.5","5.6","T","3.4","11.6","0.0","0.3","0.0","0.0","0.0","1.0"
"04","6.0","13.7","0.5","0.0","63.9","17.5","0.0","0.2","0.0","0.0","T","1.3"
"05","23.0","T","1.6","21.7","0.0","0.7","0.0","17.5","0.7","5.5","0.0","29.0"
"06","45.6","0.0","1.1","6.6","0.0","0.0","0.0","6.3","0.0","0.2","0.0","0.6"
"07","52.0","50.0","6.5","T","0.0","0.0","T","1.8","0.0","3.1","0.0","0.2"
"08","69.7","13.0","17.7","0.2","0.0","0.2","0.0","0.6","0.0","0.0","0.0","74.0"
"09","18.5","12.7","29.3","26.4","23.7","3.5","0.0","2.9","0.0","0.2","0.0","42.0"
"10","0.2","8.7","7.4","T","28.1","4.1","0.0","0.0","0.0","0.0","7.2","7.5"
"11","0.2","15.0","3.9","12.1","10.5","66.7","0.0","T","0.0","T","13.0","67.6"
"12","6.4","1.9","25.6","0.1","0.9","149.3","0.0","T","0.0","0.0","1.9","23.9"
"13","6.1","0.0","64.3","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","5.4"
"14","5.9","0.1","34.0","9.4","0.0","31.0","0.2","0.0","9.6","0.0","0.0","0.0"
"15","17.1","16.0","0.0","14.0","0.0","12.6","4.6","3.2","20.0","0.0","T","0.0"
"16","20.9","24.4","0.0","45.7","5.0","4.0","0.0","0.3","0.2","0.0","0.0","0.0"
"17","0.0","24.3","0.0","16.1","33.5","0.0","0.0","1.3","0.0","T","29.1","10.0"
"18","0.0","1.5","1.0","4.9","0.3","0.0","0.0","0.0","0.0","0.0","13.2","33.1"
"19","0.1","0.5","10.3","0.4","23.3","16.3","0.0","0.0","6.5","0.0","0.0","7.2"
"20","1.7","0.2","10.4","16.6","25.1","18.6","0.2","0.0","7.5","0.0","0.0","5.0"
"21","22.2","0.0","8.7","28.9","0.0","8.5","T","0.0","0.8","0.0","3.7","0.0"
"22","48.0","0.0","0.0","68.0","0.0","38.7","0.2","4.5","0.0","0.0","34.3","13.0"
"23","32.3","44.5","4.2","0.1","0.0","0.1","1.4","10.0","2.8","2.5","25.5","6.1"
"24","60.5","76.5","2.4","22.8","0.0","2.5","0.4","6.6","2.5","0.0","18.5","0.0"
"25","9.4","78.0","0.0","2.9","T","1.7","0.3","4.3","0.0","0.0","3.2","0.0"
"26","25.2","43.0","0.0","69.8","0.0","0.0","16.0","13.5","8.4","T","68.0","19.1"
"27","0.0","20.4","0.0","11.4","34.4","0.0","0.1","1.0","7.5","T","10.7","1.4"
"28","0.0","21.0","0.0","2.1","44.1","0.5","0.1","27.5","4.8","10.5","3.2","0.1"
"29","3.0","0.2","0.0","7.7","3.8","0.0","1.5","T","1.2","0.1","22.2","2.2"
"30","9.2","--","0.0","1.9","16.2","0.0","12.3","0.4","0.0","45.5","54.3","31.9"
"31","20.7","--","7.2","--","3.4","--","24.6","2.3","--","71.5","--","0.0"
"總和","533.4","545.7","247.6","389.8","351.6","391.0","61.9","364.5","72.5","139.1","308.3","503.4"
