
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","15.6","16.1","16.5","20.0","27.7","24.1","29.2","26.7","29.3","23.4","20.6","20.1"
"02","15.9","13.5","16.6","22.2","27.2","24.7","29.3","26.2","29.3","23.4","22.2","18.8"
"03","15.2","12.8","16.6","20.7","23.1","24.6","28.9","27.8","28.5","22.9","24.2","19.0"
"04","10.8","16.5","16.6","21.0","20.5","24.7","30.1","28.0","29.3","23.6","22.5","18.1"
"05","12.1","18.1","17.8","18.9","22.6","25.3","30.0","28.0","29.6","23.8","22.0","17.5"
"06","15.0","19.7","19.3","18.8","22.6","26.3","29.3","28.1","29.5","25.1","21.5","16.9"
"07","15.3","13.0","16.3","20.8","24.5","27.9","28.9","30.4","29.8","24.8","21.1","19.5"
"08","16.9","10.8","15.9","22.1","27.4","29.1","29.8","30.0","29.9","24.9","23.7","18.3"
"09","16.2","13.3","13.4","21.5","25.8","29.2","30.1","28.5","29.6","24.7","23.2","15.8"
"10","17.4","15.3","13.1","23.9","22.4","29.1","30.6","28.3","29.5","24.4","24.3","16.7"
"11","16.0","15.2","14.7","24.9","23.0","29.6","30.1","29.0","29.0","23.9","20.2","16.1"
"12","15.5","19.8","14.1","24.0","25.7","24.2","29.7","28.9","29.4","23.4","19.9","16.4"
"13","17.1","18.1","15.0","26.3","26.8","25.5","30.2","28.9","29.1","23.9","20.8","18.8"
"14","19.2","19.5","17.2","21.2","28.0","25.5","30.0","29.2","27.0","23.7","22.6","20.2"
"15","17.6","17.3","17.6","23.3","27.6","26.4","29.5","29.5","26.2","24.3","21.9","21.8"
"16","16.4","14.7","19.1","20.0","25.3","26.9","28.5","30.4","24.6","24.2","24.0","21.0"
"17","17.6","13.1","22.5","20.3","23.5","29.0","30.0","28.3","24.6","23.4","19.5","20.0"
"18","18.3","12.0","20.3","22.3","24.5","28.6","30.6","29.0","24.7","21.4","18.4","15.0"
"19","17.6","13.1","16.5","23.3","24.8","26.6","29.9","29.7","23.9","22.6","19.7","14.9"
"20","16.5","17.5","15.8","23.6","23.9","26.1","30.5","29.5","23.8","23.7","22.0","19.1"
"21","15.3","20.3","16.6","25.0","23.8","24.5","30.6","29.5","26.3","25.3","22.4","19.9"
"22","13.4","18.6","19.7","21.5","23.8","26.1","29.8","28.5","27.1","24.5","21.8","16.0"
"23","12.1","18.4","19.8","25.0","24.4","27.2","29.4","27.9","26.1","22.5","20.4","12.4"
"24","13.7","17.2","13.6","25.3","26.9","27.7","29.8","28.8","25.9","24.0","18.3","15.2"
"25","11.3","14.6","15.6","26.5","25.9","27.9","29.3","28.3","26.5","25.6","23.0","18.7"
"26","13.7","12.8","19.1","19.1","25.0","28.3","26.6","28.1","26.9","26.1","17.6","19.0"
"27","15.8","13.7","21.3","20.6","23.4","28.5","28.9","29.6","26.6","27.2","16.3","21.2"
"28","16.0","15.0","22.2","23.7","23.9","29.1","30.0","27.7","25.4","24.7","19.7","19.1"
"29","17.2","16.4","22.8","24.2","26.0","30.4","29.3","28.9","24.0","23.9","18.9","21.2"
"30","16.7","--","23.2","27.0","26.6","28.8","28.0","27.8","23.3","22.6","19.7","10.2"
"31","14.5","--","17.4","--","24.4","--","27.6","28.0","--","20.4","--","11.6"
"平均","15.5","15.7","17.6","22.6","24.9","27.1","29.5","28.6","27.2","23.9","21.1","17.7"
