
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","3.0","24.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","24.0","0.0"
"02","1.3","24.0","0.0","0.0","1.5","0.0","0.0","0.0","0.0","0.0","24.0","0.0"
"03","0.0","24.0","0.0","0.0","4.9","8.7","0.0","3.1","0.0","0.0","14.7","0.0"
"04","1.0","24.0","0.7","0.0","0.0","0.0","0.0","0.0","0.0","14.8","13.8","0.0"
"05","20.5","17.5","7.3","0.0","0.0","1.2","0.4","0.0","0.0","7.5","15.4","10.9"
"06","24.0","0.0","21.2","12.1","0.0","5.8","3.9","0.0","0.0","0.0","9.3","8.2"
"07","24.0","15.8","13.0","7.5","1.2","7.0","0.0","0.0","0.0","7.0","0.0","24.0"
"08","24.0","18.7","22.5","0.0","8.3","5.8","0.0","0.0","8.1","15.8","0.0","24.0"
"09","17.5","14.2","0.0","0.0","0.0","0.0","0.0","0.0","17.1","17.7","16.9","24.0"
"10","0.0","22.0","0.0","0.0","0.0","8.0","9.7","0.0","22.6","12.7","12.0","22.5"
"11","0.0","14.5","0.0","0.0","0.0","4.9","14.6","1.4","0.2","20.3","0.0","20.5"
"12","0.0","0.0","0.0","1.5","0.0","0.0","2.0","2.0","0.0","20.4","0.4","17.5"
"13","6.3","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.0","16.7","11.9","21.0"
"14","0.0","0.0","2.0","8.8","0.0","9.2","0.0","6.3","5.4","22.1","3.5","24.0"
"15","0.0","0.0","5.5","14.1","0.0","16.8","0.0","0.2","10.4","7.3","0.0","10.7"
"16","0.0","2.9","8.0","3.5","0.0","0.8","6.6","1.0","11.7","9.5","3.9","0.0"
"17","3.5","8.9","18.0","10.9","0.0","8.9","0.5","0.0","0.0","23.0","16.3","3.0"
"18","24.0","0.0","3.5","0.0","0.0","5.0","0.0","3.7","0.0","7.0","0.0","0.0"
"19","24.0","0.0","3.9","0.0","0.0","0.0","0.0","0.4","0.0","13.4","16.3","0.0"
"20","24.0","5.5","16.4","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.0","0.0"
"21","10.7","22.5","4.5","0.0","0.0","6.8","7.7","0.0","0.0","0.0","3.5","0.0"
"22","4.0","24.0","0.0","0.0","0.0","8.7","0.0","0.0","0.0","0.5","17.2","0.0"
"23","7.3","6.5","0.0","0.0","7.3","4.7","3.2","6.3","0.8","15.7","20.3","17.5"
"24","15.0","0.4","0.0","9.8","0.0","0.0","0.0","1.8","3.2","0.0","8.0","24.0"
"25","17.1","15.8","0.0","0.0","0.0","0.0","0.0","0.2","1.7","0.0","2.5","11.5"
"26","24.0","1.5","0.0","0.0","0.0","0.0","0.0","2.5","1.5","2.0","16.5","17.7"
"27","12.5","0.0","0.0","1.3","0.0","0.0","0.0","0.8","3.4","0.0","2.8","15.3"
"28","13.5","6.4","3.4","0.0","0.0","0.0","0.0","3.2","7.6","0.0","6.5","14.2"
"29","24.0","--","0.0","0.0","0.5","0.0","0.0","2.3","6.3","0.0","0.0","4.5"
"30","24.0","--","1.0","0.0","0.0","0.0","0.0","6.7","0.0","4.8","0.0","19.8"
"31","24.0","--","1.4","--","1.5","--","0.0","1.8","--","24.0","--","24.0"
"總和","373.2","293.1","132.3","69.5","25.2","117.3","48.6","44.4","100.0","263.7","259.7","358.8"
