
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","2.7 / 50","2.8 / 40","3.5 / 10","4.7 / 10","1.8 / 210","1.6 / 60","1.6 / 200","3.2 / 150","3.0 / 230","3.5 / 20","1.9 / 40","6.2 / 40"
"02","1.8 / 50","2.0 / 40","4.3 / 10","1.9 / 50","2.0 / 30","2.0 / 200","1.7 / 240","2.5 / 30","3.4 / 210","2.9 / 30","3.7 / 30","6.7 / 20"
"03","1.2 / 110","3.5 / 10","2.3 / 50","2.7 / 360","2.5 / 220","2.2 / 220","2.1 / 210","3.5 / 230","2.5 / 220","1.7 / 100","6.6 / 20","6.8 / 360"
"04","2.2 / 50","3.8 / 10","4.9 / 10","4.4 / 10","1.8 / 30","2.6 / 230","2.1 / 30","2.1 / 360","2.7 / 50","2.5 / 20","5.6 / 20","6.0 / 30"
"05","2.9 / 50","4.9 / 30","4.6 / 50","3.9 / 30","1.7 / 10","1.4 / 170","2.3 / 200","2.2 / 20","3.0 / 360","5.7 / 20","3.1 / 40","5.0 / 40"
"06","1.5 / 40","2.7 / 60","2.3 / 70","1.8 / 60","2.5 / 20","1.8 / 30","2.2 / 210","2.8 / 30","3.0 / 320","5.5 / 20","3.1 / 50","4.5 / 40"
"07","2.2 / 220","3.7 / 340","2.1 / 40","3.0 / 360","1.4 / 30","1.8 / 210","2.0 / 200","3.1 / 200","2.4 / 210","5.0 / 20","3.6 / 70","4.9 / 20"
"08","4.3 / 50","5.1 / 10","1.4 / 20","1.6 / 210","1.5 / 210","1.0 / 10","2.1 / 220","2.2 / 40","2.5 / 220","5.8 / 360","5.9 / 360","5.6 / 20"
"09","2.8 / 60","3.9 / 40","4.1 / 230","1.8 / 10","1.7 / 360","1.3 / 230","1.8 / 30","2.4 / 210","2.0 / 40","5.5 / 360","5.8 / 30","3.1 / 20"
"10","1.6 / 30","2.0 / 100","4.9 / 10","1.9 / 120","2.1 / 50","1.5 / 360","1.5 / 40","2.0 / 30","2.1 / 20","4.8 / 20","5.0 / 40","3.0 / 10"
"11","3.2 / 360","2.0 / 200","3.3 / 40","1.9 / 230","2.3 / 40","1.3 / 20","2.2 / 210","1.8 / 30","1.8 / 210","3.7 / 40","5.8 / 30","2.2 / 10"
"12","6.4 / 10","1.5 / 50","1.1 / 360","4.1 / 10","1.5 / 30","2.6 / 10","2.5 / 30","2.3 / 220","1.6 / 210","5.2 / 40","3.8 / 50","1.5 / 20"
