
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","64","79","91","94","78","94","78","96","73","91","88","57"
"02","76","78","90","95","90","90","82","92","80","87","88","65"
"03","85","58","90","98","82","84","82","95","82","76","93","61"
"04","97","70","97","89","81","94","85","94","84","79","94","57"
"05","93","66","92","65","92","99","70","93","81","82","95","84"
"06","87","86","97","72","96","100","81","99","77","90","95","88"
"07","88","82","100","73","88","96","86","100","78","82","94","66"
"08","73","76","98","93","89","90","87","88","75","83","91","61"
"09","56","82","94","91","88","87","78","96","76","86","66","75"
"10","60","86","92","98","88","79","80","89","80","90","78","75"
"11","84","94","87","82","89","81","79","87","88","99","74","84"
"12","70","89","91","88","86","84","83","89","96","95","82","90"
"13","73","85","72","93","86","84","83","90","72","92","99","83"
"14","71","92","75","100","86","75","78","90","81","89","76","81"
"15","78","76","73","100","90","69","71","92","90","79","74","74"
"16","76","68","87","97","87","61","71","87","79","89","76","82"
"17","69","70","97","86","83","61","82","86","91","79","93","75"
"18","62","50","100","64","90","61","81","88","94","84","100","62"
"19","67","58","96","73","90","63","85","92","79","86","98","59"
"20","76","71","98","63","86","69","90","86","85","97","95","73"
"21","71","77","93","82","83","70","91","86","82","99","92","93"
"22","93","70","79","89","87","94","96","88","83","97","95","93"
"23","91","83","67","95","90","98","95","86","79","95","82","94"
"24","75","79","87","93","91","93","86","90","93","100","70","88"
"25","80","86","92","87","93","93","74","91","84","97","92","83"
"26","86","96","94","79","86","87","78","80","92","90","89","86"
"27","84","97","87","79","82","78","80","70","94","83","87","85"
"28","80","91","90","97","83","69","81","74","90","71","87","93"
"29","57","--","98","90","95","65","88","75","89","83","80","88"
"30","61","--","94","79","99","71","87","77","92","91","81","66"
"31","65","--","96","--","99","--","92","76","--","88","--","71"
"平均","76","78","90","86","88","81","83","88","84","88","87","77"
