
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","1024.2","1017.0","1021.6","1013.4","1016.4","999.8","1008.4","1003.3","1004.0","1011.0","1018.3","1025.2"
"02","1024.1","1020.9","1027.3","1014.3","1015.7","1005.0","1010.3","999.6","1002.7","1012.2","1014.7","1023.9"
"03","1025.5","1020.2","1025.5","1013.7","1013.5","1009.3","1009.7","994.9","1000.4","1009.3","1013.6","1022.0"
"04","1025.3","1019.3","1025.4","1011.5","1009.8","1009.8","1007.3","997.3","1000.8","1006.6","1013.8","1016.5"
"05","1023.2","1016.3","1025.0","1012.3","1005.7","1009.0","1005.1","999.1","1005.8","1006.4","1013.9","1015.8"
"06","1023.1","1014.5","1023.2","1011.7","1004.8","1008.6","1006.4","998.3","1009.1","1009.9","1016.0","1016.8"
"07","1023.1","1017.0","1020.9","1018.3","1007.1","1009.7","1007.2","998.9","1009.7","1010.7","1020.2","1018.5"
"08","1021.2","1018.7","1019.3","1023.0","1013.5","1007.4","1008.3","1001.2","1009.8","1014.5","1016.6","1016.2"
"09","1019.7","1016.3","1018.4","1018.9","1015.3","1005.2","1008.4","1002.8","1009.1","1016.1","1015.2","1015.4"
"10","1019.6","1017.7","1018.6","1014.9","1015.2","1002.9","1008.2","1004.3","1008.3","1017.2","1017.7","1014.1"
"11","1017.9","1015.8","1018.1","1013.1","1014.8","1002.7","1009.0","1004.9","1008.0","1018.4","1020.5","1014.0"
"12","1015.5","1014.6","1019.9","1014.0","1013.9","1003.4","1008.8","1004.7","1007.8","1017.9","1022.6","1019.7"
"13","1012.5","1015.0","1022.8","1012.0","1013.5","1002.7","1007.2","1004.2","1007.8","1015.3","1026.1","1021.6"
"14","1009.8","1022.0","1017.0","1009.5","1011.2","1005.3","1004.1","1004.0","1008.8","1013.7","1023.8","1018.6"
"15","1018.1","1026.8","1017.8","1008.9","1010.3","1009.2","1001.3","1004.6","1010.0","1015.0","1023.4","1016.4"
"16","1023.5","1026.6","1019.1","1009.3","1009.9","1009.6","1001.8","1005.2","1011.7","1017.5","1022.1","1025.5"
"17","1023.2","1021.8","1016.6","1012.8","1008.4","1010.8","1004.8","1004.5","1011.1","1018.5","1024.6","1028.8"
"18","1025.2","1018.5","1018.3","1011.1","1005.2","1008.8","1008.9","1005.2","1011.8","1016.9","1024.6","--"
"19","1023.0","1020.3","1016.0","1004.8","1009.5","1006.0","1009.1","1007.3","1011.5","1014.8","1021.3","--"
"20","1024.2","1023.4","1012.2","1004.8","1010.6","1005.0","1008.3","1009.1","1010.3","1016.5","1020.0","--"
"21","1020.3","1026.0","1008.4","1010.5","1009.4","1005.9","1009.7","1007.9","1010.8","1020.9","1017.6","--"
"22","1016.9","1022.4","1007.1","1013.7","1006.4","1007.2","1011.4","1006.0","1010.8","1020.1","1015.7","--"
"23","1016.4","1017.8","1009.3","1014.7","1012.3","1008.7","1010.2","1006.3","1010.8","1018.1","1016.8","--"
"24","1027.9","1020.6","1015.1","1015.5","1011.0","1009.2","1008.1","1007.4","1010.8","1016.4","1023.2","--"
"25","1025.6","1029.5","1015.6","1014.4","1013.0","1009.9","1006.7","1006.8","1011.0","1015.9","1023.0","--"
"26","1019.7","1032.5","1017.3","1016.8","1012.7","1009.9","1004.2","1005.0","1011.4","1014.6","1020.1","--"
"27","1024.8","1028.5","1019.1","1016.1","1011.7","1010.7","999.9","1003.5","1011.1","1015.4","1018.7","--"
"28","1025.9","1022.7","1019.4","1013.8","1009.8","1010.3","999.7","1002.8","1011.6","1016.6","1021.5","--"
"29","1023.9","--","1015.0","1011.2","1007.6","1007.8","1005.8","1003.9","1012.1","1017.2","1019.3","--"
"30","1023.7","--","1013.7","1014.4","1004.2","1007.0","1007.5","1003.9","1010.2","1017.7","1023.0","--"
"31","1017.6","--","1014.9","--","1000.8","--","1006.5","1004.4","--","1019.6","--","--"
"平均","1021.4","1020.8","1018.0","1013.1","1010.4","1007.2","1006.8","1003.6","1009.0","1015.2","1019.6","1019.4"
