
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","7.4","19.0","10.4","9.2","20.0","10.2","19.0","15.0","17.8","19.0","24.0","3.6"
"02","9.6","5.8","12.2","20.0","19.0","24.0","25.0","9.6","16.4","15.0","25.0","10.0"
"03","5.0","8.8","15.0","22.0","16.0","16.2","21.2","8.4","10.0","13.8","30.0","2.9"
"04","5.4","9.6","17.0","22.0","10.4","14.0","24.0","14.4","7.8","9.4","30.0","3.4"
"05","12.6","8.0","25.0","12.0","14.4","22.0","25.0","24.0","20.0","9.2","25.0","14.0"
"06","7.0","10.8","28.0","11.4","11.0","23.0","28.0","30.0","10.8","11.0","23.0","7.2"
"07","13.2","9.6","25.0","10.0","11.6","15.4","30.0","29.0","15.4","12.2","25.0","16.0"
"08","19.8","6.0","27.0","12.0","11.2","13.2","30.0","24.0","18.2","13.2","25.0","25.0"
"09","18.0","5.0","15.2","17.0","15.0","19.0","30.0","22.0","30.0","4.4","30.0","20.0"
"10","11.0","5.2","19.0","25.0","15.0","14.8","24.0","13.4","29.0","12.2","15.0","28.0"
"11","9.6","16.0","22.0","17.4","13.2","18.0","24.0","17.2","22.0","15.0","5.8","14.2"
"12","10.4","8.8","25.0","11.8","12.0","14.4","27.0","26.0","20.2","27.0","7.0","2.7"
"13","9.0","9.5","10.0","15.0","13.6","20.0","30.0","20.6","30.0","22.0","7.8","7.2"
"14","24.0","4.8","15.4","6.2","10.0","18.0","24.0","26.0","14.8","13.4","11.0","30.0"
"15","3.8","13.2","17.2","8.0","17.0","12.6","30.0","30.0","18.6","22.0","10.2","30.0"
"16","5.2","15.0","15.0","20.0","30.0","17.0","30.0","12.6","16.2","16.2","12.4","5.7"
"17","8.4","13.8","5.6","16.0","25.0","15.0","28.0","17.0","17.8","14.4","18.0","6.6"
"18","6.8","14.6","8.0","17.0","24.0","20.0","20.0","26.0","30.0","21.0","28.0","--"
"19","11.2","5.0","11.2","10.4","9.8","20.0","26.0","30.0","30.0","23.0","30.0","--"
"20","9.6","12.0","6.6","8.2","10.6","25.0","27.0","22.0","25.0","7.4","30.0","--"
"21","8.8","13.2","8.0","12.0","10.0","27.0","23.0","29.0","25.0","8.6","17.8","--"
"22","11.2","12.0","8.4","11.2","23.0","24.0","26.0","24.0","21.0","12.4","20.0","--"
"23","7.4","4.4","20.0","10.0","10.0","17.6","30.0","22.0","25.0","18.0","29.0","--"
"24","7.0","2.8","9.4","2.6","16.0","20.2","27.0","22.0","30.0","24.0","9.8","--"
"25","10.8","5.2","5.4","10.2","12.2","27.0","28.0","30.0","28.0","20.0","11.2","--"
"26","18.4","14.4","9.6","7.6","13.8","20.0","9.6","30.0","22.0","30.0","9.2","--"
"27","11.6","16.0","7.4","13.8","21.0","28.0","9.4","30.0","17.8","12.0","20.0","--"
"28","15.0","17.0","4.4","18.0","30.0","20.0","15.2","30.0","26.0","11.8","14.4","--"
"29","15.0","--","10.8","23.0","20.0","20.0","20.0","26.0","15.2","16.0","14.4","--"
"30","30.0","--","10.0","6.7","9.6","21.0","20.0","23.0","20.4","20.0","6.0","--"
"31","30.0","--","13.2","--","6.4","--","10.2","15.4","--","17.0","--","--"
"平均","12.0","10.2","14.1","13.5","15.5","19.2","23.9","22.5","21.0","15.8","18.8","13.3"
